iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Asia,Afghanistan,2021-11-02,156307.0,23.0,33.714,7281.0,0.0,2.714,3923.819,0.577,0.846,182.777,0.0,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
OWID_AFR,,Africa,2021-11-02,8507361.0,3919.0,4269.857,218561.0,166.0,174.571,6193.99,2.853,3.109,159.129,0.121,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1373486472.0,,,,,,,,,,,,,,,,,,
ALB,Europe,Albania,2021-11-02,186222.0,725.0,516.0,2937.0,6.0,7.0,64819.449,252.355,179.607,1022.3,2.088,2.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,
DZA,Africa,Algeria,2021-11-02,206649.0,83.0,94.143,5927.0,3.0,4.0,4631.659,1.86,2.11,132.843,0.067,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44616626.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,,,
AND,Europe,Andorra,2021-11-02,15516.0,0.0,13.0,130.0,0.0,0.0,200584.327,0.0,168.059,1680.585,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,,
AGO,Africa,Angola,2021-11-02,64487.0,29.0,64.857,1713.0,0.0,1.571,1900.387,0.855,1.911,50.481,0.0,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,
ATG,North America,Antigua and Barbuda,2021-11-02,4069.0,7.0,5.429,102.0,0.0,0.429,41214.245,70.902,54.985,1033.142,0.0,4.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98728.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,,,,
ARG,South America,Argentina,2021-11-02,5291285.0,1340.0,1183.571,116010.0,21.0,20.571,116022.136,29.382,25.952,2543.754,0.46,0.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,
ARM,Asia,Armenia,2021-11-02,310629.0,1232.0,1794.286,6441.0,62.0,47.0,104654.853,415.076,604.518,2170.055,20.889,15.835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2968128.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,,,,
OWID_ASI,,Asia,2021-11-02,79571893.0,111941.0,101046.857,1178919.0,1482.0,1639.0,17008.192,23.927,21.598,251.989,0.317,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4678444992.0,,,,,,,,,,,,,,,,,,
AUS,Oceania,Australia,2021-11-02,174276.0,1111.0,1487.143,1768.0,12.0,14.143,6757.97,43.082,57.668,68.558,0.465,0.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUT,Europe,Austria,2021-11-02,840902.0,5398.0,5153.857,11380.0,11.0,14.429,92988.533,596.921,569.923,1258.422,1.216,1.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9043072.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,,,,
AZE,Asia,Azerbaijan,2021-11-02,534748.0,2178.0,2097.143,7132.0,31.0,27.571,52306.564,213.042,205.133,697.619,3.032,2.697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10223344.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,,,,
BHS,North America,Bahamas,2021-11-02,22429.0,22.0,24.286,643.0,0.0,0.143,56508.463,55.428,61.186,1619.998,0.0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,
BHR,Asia,Bahrain,2021-11-02,276917.0,43.0,40.286,1393.0,0.0,0.0,158392.605,24.595,23.043,796.776,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1748295.0,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,,,,
BGD,Asia,Bangladesh,2021-11-02,1569982.0,229.0,246.429,27873.0,3.0,5.571,9440.463,1.377,1.482,167.603,0.018,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166303494.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,
BRB,North America,Barbados,2021-11-02,18459.0,436.0,346.571,158.0,2.0,2.143,64158.8,1515.425,1204.594,549.168,6.951,7.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287708.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,,,,
BLR,Europe,Belarus,2021-11-02,604037.0,1979.0,1973.0,4662.0,16.0,16.571,63967.543,209.576,208.941,493.706,1.694,1.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9442867.0,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823,,,,
BEL,Europe,Belgium,2021-11-02,1360650.0,0.0,3814.714,25994.0,0.0,11.429,116971.366,0.0,327.941,2234.633,0.0,0.982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11632334.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,,,,
BLZ,North America,Belize,2021-11-02,27305.0,156.0,164.714,499.0,4.0,2.429,67433.906,385.266,406.787,1232.357,9.879,5.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,,
BEN,Africa,Benin,2021-11-02,24749.0,0.0,10.143,161.0,0.0,0.0,1987.707,0.0,0.815,12.931,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12451031.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,,,,
BTN,Asia,Bhutan,2021-11-02,2621.0,0.0,0.571,3.0,0.0,0.0,3360.687,0.0,0.733,3.847,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779900.0,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,,,,
BOL,South America,Bolivia,2021-11-02,513810.0,0.0,477.143,18928.0,0.0,3.571,43422.021,0.0,40.323,1599.603,0.0,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
BIH,Europe,Bosnia and Herzegovina,2021-11-02,255054.0,706.0,698.429,11654.0,47.0,33.0,78154.498,216.335,214.015,3571.058,14.402,10.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3263459.0,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,,,,
BWA,Africa,Botswana,2021-11-02,187281.0,0.0,185.143,2407.0,0.0,0.714,78123.592,0.0,77.232,1004.071,0.0,0.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2397240.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,,,,
BRA,South America,Brazil,2021-11-02,21821124.0,6431.0,10305.714,608071.0,149.0,260.714,101970.995,30.052,48.159,2841.54,0.696,1.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,
BRN,Asia,Brunei,2021-11-02,13321.0,75.0,103.714,89.0,0.0,1.0,30169.954,169.863,234.896,201.571,0.0,2.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441532.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,,,,
BGR,Europe,Bulgaria,2021-11-02,614362.0,5863.0,4605.714,24454.0,145.0,144.857,89081.156,850.122,667.819,3545.777,21.025,21.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6896655.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,,,,
BFA,Africa,Burkina Faso,2021-11-02,15103.0,310.0,44.286,221.0,7.0,1.0,702.56,14.421,2.06,10.28,0.326,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21497097.0,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,,,,
BDI,Africa,Burundi,2021-11-02,20087.0,9.0,19.0,38.0,0.0,0.0,1639.029,0.734,1.55,3.101,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12255429.0,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,,,,
KHM,Asia,Cambodia,2021-11-02,118787.0,174.0,112.429,2807.0,13.0,8.0,7009.552,10.268,6.634,165.639,0.767,0.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16946446.0,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,,,,
CMR,Africa,Cameroon,2021-11-02,102499.0,0.0,315.714,1686.0,0.0,12.286,3764.987,0.0,11.597,61.93,0.0,0.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27224262.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,,,,
CAN,North America,Canada,2021-11-02,1726767.0,1405.0,2026.571,29080.0,28.0,26.571,45360.17,36.908,53.236,763.898,0.736,0.698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,
CPV,Africa,Cape Verde,2021-11-02,38219.0,1.0,9.714,349.0,0.0,0.0,68017.32,1.78,17.288,621.106,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561901.0,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,,,,
CAF,Africa,Central African Republic,2021-11-02,11579.0,0.0,8.714,100.0,0.0,0.0,2353.462,0.0,1.771,20.325,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4919987.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,,,,
TCD,Africa,Chad,2021-11-02,5107.0,2.0,5.429,175.0,0.0,0.143,301.922,0.118,0.321,10.346,0.0,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16914985.0,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,,,,
CHL,South America,Chile,2021-11-02,1698127.0,1341.0,1931.286,37782.0,5.0,13.0,88387.206,69.799,100.523,1966.546,0.26,0.677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19212362.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,,,,
CHN,Asia,China,2021-11-02,97501.0,110.0,75.0,4636.0,0.0,0.0,67.511,0.076,0.052,3.21,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
COL,South America,Colombia,2021-11-02,5005402.0,1425.0,1626.857,127348.0,37.0,30.714,97636.202,27.796,31.734,2484.071,0.722,0.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,
COM,Africa,Comoros,2021-11-02,4272.0,6.0,5.571,147.0,0.0,0.0,4808.342,6.753,6.271,165.456,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888456.0,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,,,,
COG,Africa,Congo,2021-11-02,17670.0,0.0,114.571,278.0,0.0,4.143,3123.554,0.0,20.253,49.143,0.0,0.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5657017.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,,,,
CRI,North America,Costa Rica,2021-11-02,561054.0,491.0,447.429,7093.0,15.0,13.714,109174.589,95.543,87.064,1380.215,2.919,2.669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5139053.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,,,,
CIV,Africa,Cote d'Ivoire,2021-11-02,61319.0,8.0,14.0,696.0,0.0,0.714,2266.572,0.296,0.517,25.727,0.0,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27053629.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,,,,
HRV,Europe,Croatia,2021-11-02,472259.0,785.0,3270.571,9291.0,40.0,28.714,115702.765,192.324,801.285,2276.281,9.8,7.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4081657.0,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,,,,
CUB,North America,Cuba,2021-11-02,953183.0,549.0,749.714,8246.0,6.0,6.429,84222.06,48.509,66.244,728.606,0.53,0.568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11317498.0,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,,,,
CYP,Europe,Cyprus,2021-11-02,124724.0,280.0,168.286,576.0,1.0,0.714,139200.116,312.498,187.818,642.854,1.116,0.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896005.0,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,,,,
CZE,Europe,Czechia,2021-11-02,1773291.0,7637.0,5391.286,30807.0,32.0,22.714,165348.71,712.104,502.705,2872.567,2.984,2.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10724553.0,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,,,,
COD,Africa,Democratic Republic of Congo,2021-11-02,57565.0,0.0,16.0,1098.0,0.0,1.0,623.146,0.0,0.173,11.886,0.0,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92377986.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,,,,
DNK,Europe,Denmark,2021-11-02,394332.0,2070.0,1824.0,2719.0,0.0,2.0,67832.705,356.08,313.763,467.72,0.0,0.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
DJI,Africa,Djibouti,2021-11-02,13486.0,4.0,3.571,182.0,1.0,0.143,13456.436,3.991,3.564,181.601,0.998,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002197.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,,,,
DMA,North America,Dominica,2021-11-02,4823.0,0.0,23.429,32.0,0.0,0.286,66826.47,0.0,324.621,443.385,0.0,3.959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72172.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,,,,
DOM,North America,Dominican Republic,2021-11-02,383317.0,841.0,847.429,4138.0,5.0,3.429,34994.249,76.778,77.364,377.771,0.456,0.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10953714.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,,,,
ECU,South America,Ecuador,2021-11-02,515859.0,0.0,28.571,32958.0,0.0,0.714,28837.507,0.0,1.597,1842.415,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759,,,,
EGY,Africa,Egypt,2021-11-02,332889.0,921.0,930.0,18769.0,58.0,56.286,3192.925,8.834,8.92,180.024,0.556,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104258327.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,,,,
SLV,North America,El Salvador,2021-11-02,113422.0,0.0,0.0,3647.0,9.0,8.714,17400.015,0.0,0.0,559.485,1.381,1.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6518500.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,,,,
GNQ,Africa,Equatorial Guinea,2021-11-02,13377.0,9.0,20.143,167.0,0.0,0.571,9226.211,6.207,13.893,115.181,0.0,0.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1449891.0,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,,,,
ERI,Africa,Eritrea,2021-11-02,6860.0,21.0,8.857,45.0,0.0,0.0,1904.782,5.831,2.459,12.495,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,3601462.0,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,,,,
EST,Europe,Estonia,2021-11-02,196951.0,1569.0,1777.429,1550.0,10.0,10.429,148621.177,1183.983,1341.265,1169.645,7.546,7.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1325188.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,,,,
SWZ,Africa,Eswatini,2021-11-02,46438.0,8.0,6.857,1242.0,0.0,0.0,39610.396,6.824,5.849,1059.393,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1172369.0,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,,,,
ETH,Africa,Ethiopia,2021-11-02,365776.0,404.0,362.286,6486.0,19.0,13.286,3103.052,3.427,3.073,55.024,0.161,0.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117876226.0,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,,,,
OWID_EUR,,Europe,2021-11-02,65377080.0,221494.0,223074.571,1313814.0,3853.0,3225.571,87290.135,295.734,297.845,1754.177,5.144,4.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748962983.0,,,,,,,,,,,,,,,,,,
OWID_EUN,,European Union,2021-11-02,40472067.0,112796.0,106958.0,800862.0,1474.0,1175.857,90503.085,252.233,239.178,1790.877,3.296,2.629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447189915.0,,,,,,,,,,,,,,,,,,
FJI,Oceania,Fiji,2021-11-02,52180.0,0.0,21.714,674.0,0.0,0.143,57791.625,0.0,24.05,746.484,0.0,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902899.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,,,,
FIN,Europe,Finland,2021-11-02,159798.0,807.0,607.286,1173.0,3.0,3.429,28800.938,145.448,109.453,211.414,0.541,0.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5548361.0,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,,,,
FRA,Europe,France,2021-11-02,7272516.0,2106.0,5345.143,118720.0,88.0,32.857,107638.52,31.17,79.112,1757.142,1.302,0.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67564251.0,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,,,,
GAB,Africa,Gabon,2021-11-02,35841.0,316.0,134.714,244.0,5.0,2.0,15727.815,138.668,59.116,107.073,2.194,0.878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2278829.0,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,,,,
GMB,Africa,Gambia,2021-11-02,9973.0,6.0,2.0,341.0,1.0,0.143,4010.154,2.413,0.804,137.116,0.402,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2486937.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,,,,
GEO,Asia,Georgia,2021-11-02,726941.0,5553.0,3999.571,10136.0,47.0,43.571,182658.91,1395.306,1004.975,2546.879,11.81,10.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3979773.0,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,,,,
DEU,Europe,Germany,2021-11-02,4649964.0,30691.0,19017.857,96031.0,193.0,95.143,55422.383,365.802,226.672,1144.582,2.3,1.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
GHA,Africa,Ghana,2021-11-02,130287.0,210.0,39.857,1182.0,7.0,1.143,4105.839,6.618,1.256,37.249,0.221,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31732128.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,,,,
GRC,Europe,Greece,2021-11-02,754451.0,6856.0,4268.571,16050.0,60.0,49.0,72747.99,661.09,411.597,1547.622,5.786,4.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,
GRD,North America,Grenada,2021-11-02,5850.0,0.0,3.714,198.0,0.0,0.143,51763.04,0.0,32.865,1751.98,0.0,1.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015.0,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,,,,
GTM,North America,Guatemala,2021-11-02,601793.0,136.0,768.0,15179.0,42.0,54.571,32975.197,7.452,42.082,831.732,2.301,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18249868.0,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663,,,,
GIN,Africa,Guinea,2021-11-02,30672.0,5.0,3.857,385.0,0.0,0.0,2272.465,0.37,0.286,28.524,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13497237.0,51.755,19.0,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,,,,
GNB,Africa,Guinea-Bissau,2021-11-02,6134.0,0.0,0.143,141.0,0.0,0.0,3043.429,0.0,0.071,69.958,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GUY,South America,Guyana,2021-11-02,35719.0,62.0,78.429,926.0,1.0,3.857,45195.102,78.448,99.235,1171.664,1.265,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790329.0,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,,,,
HTI,North America,Haiti,2021-11-02,24004.0,44.0,55.0,677.0,6.0,2.143,2079.766,3.812,4.765,58.657,0.52,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11541683.0,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64.0,0.51,,,,
HND,North America,Honduras,2021-11-02,375877.0,496.0,156.286,10273.0,34.0,9.0,37352.402,49.29,15.531,1020.869,3.379,0.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10062994.0,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,,,,
HKG,Asia,Hong Kong,2021-11-02,12349.0,2.0,2.714,213.0,0.0,0.0,1635.023,0.265,0.359,28.201,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7552800.0,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949,,,,
HUN,Europe,Hungary,2021-11-02,876497.0,1867.0,3469.0,30920.0,39.0,44.143,90978.022,193.79,360.073,3209.413,4.048,4.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9634162.0,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,
ISL,Europe,Iceland,2021-11-02,13829.0,90.0,84.714,34.0,1.0,0.143,40275.513,262.116,246.721,99.021,2.912,0.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343360.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,,,,
IND,Asia,India,2021-11-02,34308140.0,11903.0,13212.429,459191.0,311.0,505.429,24621.729,8.542,9.482,329.545,0.223,0.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,
