iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
MNE,Europe,Montenegro,2021-11-02,145314.0,622.0,497.143,2113.0,6.0,5.429,231372.93,990.365,791.564,3364.376,9.553,8.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628051.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,,,,
MAR,Africa,Morocco,2021-11-02,946543.0,260.0,248.571,14683.0,5.0,6.714,25346.054,6.962,6.656,393.174,0.134,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37344787.0,80.08,29.6,6.769,4.209,7485.013,1.0,419.146,7.14,0.8,47.1,,1.1,76.68,0.686,,,,
MOZ,Africa,Mozambique,2021-11-02,151316.0,14.0,10.429,1932.0,1.0,0.429,4704.654,0.435,0.324,60.069,0.031,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32163045.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,,,,
MMR,Asia,Myanmar,2021-11-02,502024.0,1074.0,875.143,18728.0,14.0,20.857,9160.017,19.596,15.968,341.714,0.255,0.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54806014.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,,,,
NAM,Africa,Namibia,2021-11-02,128956.0,18.0,13.857,3556.0,2.0,0.857,49841.073,6.957,5.356,1374.382,0.773,0.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2587344.0,3.078,22.0,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,
NPL,Asia,Nepal,2021-11-02,813433.0,422.0,447.857,11427.0,11.0,7.857,27411.464,14.221,15.092,385.073,0.371,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29674920.0,204.43,25.0,5.809,3.212,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,,,,
NLD,Europe,Netherlands,2021-11-02,2187466.0,7756.0,7728.429,18881.0,19.0,14.714,127377.513,451.637,450.031,1099.452,1.106,0.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17173094.0,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,,,,
NZL,Oceania,New Zealand,2021-11-02,6833.0,109.0,133.286,28.0,0.0,0.0,1405.781,22.425,27.421,5.761,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4860642.0,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931,,,,
NIC,North America,Nicaragua,2021-11-02,16699.0,277.0,39.571,208.0,0.0,0.143,2491.503,41.329,5.904,31.034,0.0,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6702379.0,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,,,,
NER,Africa,Niger,2021-11-02,6399.0,33.0,19.857,216.0,3.0,1.143,254.628,1.313,0.79,8.595,0.119,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25130810.0,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,,,,
NGA,Africa,Nigeria,2021-11-02,212150.0,99.0,117.143,2899.0,1.0,2.143,1003.544,0.468,0.554,13.713,0.005,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211400704.0,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539,,,,
OWID_NAM,,North America,2021-11-02,55456312.0,79203.0,83911.429,1128788.0,1729.0,1727.286,92956.842,132.761,140.654,1892.094,2.898,2.895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596581283.0,,,,,,,,,,,,,,,,,,
MKD,Europe,North Macedonia,2021-11-02,203298.0,593.0,412.286,7159.0,14.0,12.429,97614.542,284.732,197.961,3437.429,6.722,5.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2082661.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,,,,
NOR,Europe,Norway,2021-11-02,210241.0,1626.0,1098.143,902.0,0.0,1.0,38466.021,297.495,200.918,165.031,0.0,0.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5465629.0,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,,,,
OWID_OCE,,Oceania,2021-11-02,263369.0,1442.0,1903.429,2856.0,27.0,21.429,6093.69,33.364,44.041,66.081,0.625,0.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43219954.0,,,,,,,,,,,,,,,,,,
OMN,Asia,Oman,2021-11-02,304308.0,9.0,14.714,4111.0,0.0,0.0,58258.873,1.723,2.817,787.039,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,,,,
PAK,Asia,Pakistan,2021-11-02,1274578.0,561.0,608.0,28477.0,11.0,10.286,5659.762,2.491,2.7,126.452,0.049,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225199929.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,,,,
PLW,Oceania,Palau,2021-11-02,8.0,0.0,0.0,,,0.0,440.189,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18174.0,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,,,,
PSE,Asia,Palestine,2021-11-02,454172.0,390.0,325.0,4689.0,8.0,6.429,86960.218,74.673,62.228,897.802,1.532,1.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5222756.0,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,,,,,74.05,0.708,,,,
